4603697912: {'y': 22.9727151, 'x': 91.4215454, 'street_count': 3}
4603697932: {'y': 22.9696934, 'x': 91.4284977, 'street_count': 3}
4603697933: {'y': 22.9671843, 'x': 91.4283153, 'street_count': 1}
4603728608: {'y': 22.9950721, 'x': 91.4563342, 'street_count': 3}
4603728629: {'y': 22.9852573, 'x': 91.4388138, 'street_count': 1}
4603731415: {'y': 23.018238, 'x': 91.3902145, 'street_count': 3}
4603750414: {'y': 23.2132566, 'x': 91.4391524, 'street_count': 3}
4603769307: {'y': 23.0668547, 'x': 91.4348238, 'street_count': 3}
4643531451: {'y': 22.8435875, 'x': 91.4224537, 'street_count': 4}
4643553603: {'y': 23.1941199, 'x': 91.4118411, 'street_count': 1}
4643555455: {'y': 23.1940509, 'x': 91.4081826, 'street_count': 1}
4643555484: {'y': 23.1989804, 'x': 91.3928869, 'street_count': 3}
4643598010: {'y': 23.152664, 'x': 91.4723222, 'street_count': 3}
4643603912: {'y': 23.2637785, 'x': 91.4324616, 'street_count': 3}
4643603940: {'y': 23.243459, 'x': 91.4309099, 'street_count': 3}
4643603958: {'y': 23.2350718, 'x': 91.421816, 'street_count': 3}
4643606231: {'y': 23.2603524, 'x': 91.4334182, 'street_count': 3}
4643608155: {'y': 23.2564779, 'x': 91.435738, 'street_count': 3}
4643608183: {'y': 23.2434288, 'x': 91.4312841, 'street_count': 3}
4985229865: {'y': 23.0056045, 'x': 91.3893474, 'street_count': 3}
4986340864: {'y': 23.0046536, 'x': 91.3943223, 'street_count': 3}
4986340876: {'y': 23.0024096, 'x': 91.3912477, 'street_count': 3}
5058546100: {'y': 22.7711312, 'x': 91.4160182, 'street_count': 1}
5058546101: {'y': 22.7728422, 'x': 91.4166309, 'street_count': 4}
5058546106: {'y': 22.772797, 'x': 91.416655, 'street_count': 3}
5058546107: {'y': 22.7731943, 'x': 91.417386, 'street_count': 3}
5058546108: {'y': 22.7735339, 'x': 91.4171801, 'street_count': 3}
5058546109: {'y': 22.7728763, 'x': 91.4175653, 'street_count': 3}
5058546110: {'y': 22.7738038, 'x': 91.4175133, 'street_count': 3}
5058546111: {'y': 22.7730796, 'x': 91.4179522, 'street_count': 3}
5058546112: {'y': 22.7743718, 'x': 91.4182144, 'street_count': 3}
5058546113: {'y': 22.773488, 'x': 91.4187291, 'street_count': 3}
5058546114: {'y': 22.7734276, 'x': 91.4177413, 'street_count': 3}
5058546115: {'y': 22.7738808, 'x': 91.4185003, 'street_count': 3}
5058546116: {'y': 22.7739275, 'x': 91.4184731, 'street_count': 3}
5058546117: {'y': 22.7744326, 'x': 91.4194029, 'street_count': 3}
5058671757: {'y': 22.7899166, 'x': 91.3565998, 'street_count': 3}
5058674520: {'y': 22.7873297, 'x': 91.3585297, 'street_count': 3}
5059013148: {'y': 22.9168726, 'x': 91.2744093, 'street_count': 1}
5059013149: {'y': 22.9168589, 'x': 91.2744883, 'street_count': 3}
5059013174: {'y': 22.9168733, 'x': 91.2746525, 'street_count': 3}
5059013177: {'y': 22.9171165, 'x': 91.2748112, 'street_count': 1}
5059110482: {'y': 22.8746131, 'x': 91.3418309, 'street_count': 3}
5059110483: {'y': 22.8743026, 'x': 91.3419171, 'street_count': 3}
5059110490: {'y': 22.8692973, 'x': 91.3438604, 'street_count': 3}
5059110497: {'y': 22.8672042, 'x': 91.3462161, 'street_count': 3}
5059110501: {'y': 22.8642083, 'x': 91.3469716, 'street_count': 3}
5059253408: {'y': 22.8189658, 'x': 91.3466182, 'street_count': 1}
5059253412: {'y': 22.8215673, 'x': 91.3464554, 'street_count': 3}
5059253419: {'y': 22.8211574, 'x': 91.3442109, 'street_count': 1}
5059877870: {'y': 22.8163212, 'x': 91.3665231, 'street_count': 3}
5059877874: {'y': 22.8143676, 'x': 91.3663724, 'street_count': 3}
5059878120: {'y': 22.8079773, 'x': 91.3848795, 'street_count': 3}
5059878131: {'y': 22.810467, 'x': 91.3771199, 'street_count': 4}
5059878132: {'y': 22.8117947, 'x': 91.3753604, 'street_count': 3}
5059878142: {'y': 22.8143964, 'x': 91.3721113, 'street_count': 3}
5059878164: {'y': 22.7966438, 'x': 91.3705532, 'street_count': 1}
5059878165: {'y': 22.7995656, 'x': 91.384386, 'street_count': 1}
